"202","andersson"
"203","allbäck"
"204","wilhelmsson"
"205","rosenberg"
"206","shaaban"
"574","kawaguchi"
"575","nakata"
"576","ogasawara"
"577","nakamura"
"578","maki"
"579","alex"
"580","inamoto"
"581","tsuboi"
"582","tamada"
"583","kaji"
"584","nakazawa"
"585","narazaki"
"586","doi"
"587","moniwa"
"588","komano"
"589","endo"
"590","k. nakata"
"591","takahara"
"592","yanagisawa"
"593","fukunishi"
"594","oguro"
"595","ono"
"596","miyamoto"
"712","pletikosa"
"713","srna"
"714","simunic"
"715","r. kovac"
"716","tudor"
"717","simic"
"718","babic"
"719","prso"
"720","n. kovac"
"721","klasnic"
"722","kranjcar"
"723","vranjes"
"724","tokic"
"725","didulica"
"726","tomas"
"727","modric"
"728","i. leko"
"729","j. leko"
"730","olic"
"731","seric"
"732","balaban"
"733","bosnjak"
"734","butina"
"93","schwarzer"
"95","neill"
"97","moore"
"99","cahill"
"101","culina"
"103","popovic"
"105","emerton"
"107","viduka"
"109","grella"
"111","chipperfield"
"113","sterjovski"
"115","skoko"
"117","kewell"
"119","lazaridis"
"121","covic"
"123","aloisi"
"125","beauchamp"
"127","thompson"
"129","kalac"
"131","kennedy"
"133","wilkshire"
"135","milligan"
"137","bresciano"
"138","barry"
"140","akale"
"142","boka"
"144","zokora"
"146","kouassi"
"148","kone a."
"150","dindane"
"152","domoraud"
"154","keita"
"156","toure y."
"158","eboue"
"160","tizie"
"162","toure k."
"164","fae"
"166","kalou"
"168","yapi"
"170","drogba"
"172","meite"
"174","zoro"
"176","kone b."
"178","gnanhouan"
"180","demel"
"182","romaric"
"505","van der sar"
"506","jaliens"
"507","boulahrouz"
"508","kuyt"
"509","cocu"
"510","v. nistelrooy"
"511","van der vaart"
"512","ooijer"
"513","de cler"
"514","v. persie"
"515","sneijder"
"516","timmer"
"517","stekelenburg"
"518","mathijsen"
"519","v. bronckhorst"
"520","landzaat"
"521","robben"
"522","kromkamp"
"523","heitinga"
"524","maduro"
"525","v. bommel"
"526","vennegoor of hesselink"
"527","babel"
"345","abbondanzieri"
"346","ayala"
"347","sorin"
"348","heinze"
"349","saviola"
"350","mascherano"
"351","crespo"
"352","riquelme"
"353","rodriguez"
"354","burdisso"
"355","gonzalez"
"356","franco"
"357","ustari"
"358","coloccini"
"359","cambiasso"
"360","tevez"
"361","scaloni"
"362","palacio"
"363","milito"
"364","aimar"
"365","cufre"
"366","messi"
"367","cruz"
"139","jevric"
"141","ergic"
"143","duljaj"
"145","gavrancic"
"147","stankovic"
"149","p. djordjevic"
"151","n. djordjevic"
"153","dudic"
"155","zigic"
"157","krstajic"
"159","sasa ilic"
"161","dragutinovic"
"163","vidic"
"165","koroman"
"167","kezman"
"169","milosevic"
"171","kovacevic"
"173","basta"
"175","petkovic"
"177","nadj"
"179","vukic"
"181","ljuboja"
"183","stojkovic"
"528","hislop"
"529","a. john"
"530","sancho"
"531","lawrence"
"532","birchall"
"533","gray"
"534","edwards"
"535","samuel"
"536","s. john"
"537","theobald"
"538","yorke"
"539","ince"
"540","jack"
"541","cox"
"542","whitley"
"543","latapy"
"544","glen"
"545","jones"
"546","wise"
"547","charles"
"548","scotland"
"549","wolfe"
"550","andrews"
"207","ricardo"
"209","f.meira"
"211","costinha"
"213","figo"
"215","pauleta"
"217","miguel"
"219","n.valente"
"221","r.carvalho"
"223","c.ronaldo"
"225","maniche"
"227","deco"
"229","p.ferreira"
"231","caneira"
"233","r.costa"
"235","petit"
"237","h.viana"
"239","simão"
"241","quim"
"243","boa morte"
"245","tiago"
"247","nuno gomes"
"249","p. santos"
"251","h.postiga"
"482","e.mirzapour"
"483","m.mahdavikia"
"484","y.golmohammadi"
"485","r.rezaei"
"486","j.nekounam"
"487","a.karimi"
"488","v.hashemian"
"489","h.kaebi"
"490","anderanik t."
"491","m.nosrati"
"492","m.madanchi"
"493","s.bakhtiarizadeh"
"494","f.zandi"
"495","a.daei"
"496","r.pakikhatibi"
"497","h.roudbarian"
"498","a.borhani"
"499","r.enayati"
"500","j.kazemian"
"501","m.navidkia"
"502","a.sadeghi"
"503","v.talebloo"
"504","m.soleimani"
"689","joão ricardo"
"690","jamba"
"691","kali"
"692","miloy"
"693","figueiredo"
"694","akwá"
"695","mateus"
"696","mendonca"
"697","zé kalanga"
"698","locó"
"699","delgado"
"700","lamá"
"701","mário"
"702","airosa"
"703","lebo lebo"
"704","mantorras"
"705","edson"
"706","rui marques"
"708","cabungula"
"709","titi buengo"
"710","marco abreu"
"711","andrè macanga"
"735","flávio"
"208","barthez"
"210","abidal"
"212","vieira"
"214","gallas"
"216","makelele"
"218","malouda"
"220","zidane"
"222","henry"
"224","thuram"
"226","sagnol"
"228","ribery"
"230","landreau"
"232","boumsong"
"234","dhorasoo"
"236","govou"
"238","wiltord"
"240","silvestre"
"242","saha"
"244","givet"
"246","diarra"
"248","trezeguet"
"250","chimbonda"
"252","coupet"
"437","agassa"
"439","nibombe"
"441","abalo"
"443","adebayor"
"445","tchangai"
"447","salifou m."
"449","t. cherif"
"451","romao"
"453","c. kader-toure"
"455","j. senaya"
"457","assemoassa"
"459","tchagnirou"
"461","obilale k."
"463","aziawonou"
"465","agboh"
"467","dossevi"
"469","malm"
"471","akoto"
"473","forson r."
"475","olufade"
"477","erassa"
"479","atsou"
"481","a. toure"
"551","zuberbühler"
"552","magnin"
"553","senderos"
"554","vogel"
"555","cabanas"
"556","wicky"
"557","frei"
"558","gygax"
"559","barnetta"
"560","mueller"
